지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2022-06-27 01:00,26.6,,.2,,2.2,,250,,83,,28.8,23.4,1000.3,,1010,,,9,,9,,,10,8,ScAs,6,1904,,01,24.3,,25.4,25.1,24.7,24.4
108,서울,2022-06-27 02:00,26.2,,.4,,2.1,,200,,87,,29.5,23.8,1000,,1009.7,,,9,,9,,,10,8,ScAs,6,1699,,01,24.2,,25.3,25.1,24.7,24.4
108,서울,2022-06-27 03:00,26,,0,,1.9,,180,,86,,28.8,23.4,999.5,,1009.2,,,9,,9,,,10,7,ScAs,10,2000,,01,24,,25.2,25,24.6,24.4
108,서울,2022-06-27 04:00,25.8,,.4,,.5,,50,,89,,29.5,23.8,999.6,,1009.3,,,9,,9,,,10,7,CbStNs,6,1488,,01,24.1,,25.1,24.9,24.6,24.4
108,서울,2022-06-27 05:00,25.4,,.2,,.8,,70,,90,,29.1,23.6,999.4,,1009.1,,,9,,9,,,10,7,ScAs,9,2000,,01,24,,25,24.8,24.5,24.4
108,서울,2022-06-27 06:00,25.5,,,9,1,,50,,89,,28.9,23.5,999.6,,1009.3,,0,,0,,,,10,7,ScAs,8,2000,,,24,,25,24.8,24.5,24.3
108,서울,2022-06-27 07:00,25.7,,0,,1.1,,70,,89,,29.3,23.7,999.3,,1009,,0,,.1,,,,10,6,ScAs,8,2000,,01,25.2,,24.9,24.7,24.4,24.3
108,서울,2022-06-27 08:00,26.2,,0,,.8,,70,,87,,29.5,23.8,999.1,,1008.8,,0,,.29,,,,10,8,ScAs,7,2000,,01,26.7,,25,24.7,24.4,24.3
108,서울,2022-06-27 09:00,26.8,,0,,2.2,,110,,83,,29.1,23.6,998.7,,1008.4,,0,,.4,,,,10,8,ScAs,7,2000,,01,27,,25.2,24.8,24.4,24.3
108,서울,2022-06-27 10:00,27.2,,0,,2.5,,160,,81,,29.1,23.6,998.6,,1008.2,,0,,.38,,,,10,8,ScAs,7,2000,,01,26.7,,25.4,24.9,24.4,24.2
108,서울,2022-06-27 11:00,28,,0,,2.8,,160,,79,,29.8,24,998.5,,1008.1,,0,,.63,,,,10,8,ScAs,9,2000,,01,28.9,,25.6,25.1,24.4,24.2
108,서울,2022-06-27 12:00,27.8,,.3,,2.4,,140,,83,,30.9,24.6,997.5,,1007.1,,0,,.51,,,,10,8,StNs,7,1763,,01,29.4,,25.8,25.2,24.5,24.2
108,서울,2022-06-27 13:00,27.6,,1.6,,2.5,,160,,86,,31.7,25,997.1,,1006.7,,0,,.86,,,,10,8,StNs,7,2000,,01,30.1,,26,25.4,24.5,24.2
108,서울,2022-06-27 14:00,26.6,,1.3,,3.6,,180,,88,,30.6,24.4,996.7,,1006.4,,0,,.41,,,,10,8,StNs,7,1997,,01,27.4,,26.3,25.6,24.6,24.3
108,서울,2022-06-27 15:00,26.6,,.5,,2.6,,180,,90,,31.3,24.8,995.6,,1005.2,,0,,.48,,,,10,8,StNs,7,2000,,01,28.7,,26.2,25.7,24.7,24.3
108,서울,2022-06-27 16:00,26.7,,.7,,2.1,,200,,91,,31.9,25.1,995.5,,1005.1,,0,,.28,,,,10,8,StNs,6,1586,,01,26.7,,26.3,25.7,24.8,24.3
108,서울,2022-06-27 17:00,26.3,,.5,,5.4,,200,,89,,30.4,24.3,995.2,,1004.9,,0,,.25,,,,10,8,StNs,5,2000,,01,25.7,,26.2,25.7,24.9,24.4
108,서울,2022-06-27 18:00,26.4,,0,,2.4,,160,,87,,29.8,24,993.9,,1003.5,,0,,.11,,,,10,8,ScAs,8,2000,,01,25.5,,26.1,25.7,24.9,24.4
108,서울,2022-06-27 19:00,26.9,,0,,4.3,,200,,84,,29.7,23.9,994.4,,1004,,0,,.04,,,,10,8,ScAs,7,2000,,01,24.7,,26,25.6,24.9,24.4
108,서울,2022-06-27 20:00,27.1,,0,,4.7,,200,,81,,28.9,23.5,994.2,,1003.8,,0,,.01,,,,10,8,ScAs,7,2000,,01,24.7,,25.8,25.5,24.9,24.5
108,서울,2022-06-27 21:00,27.3,,0,,4.2,,200,,80,,28.9,23.5,994.7,,1004.3,,,9,,9,,,10,7,ScAs,7,2000,,01,24.6,,25.7,25.4,24.9,24.5
108,서울,2022-06-27 22:00,27.3,,0,,4,,200,,80,,28.9,23.5,994.9,,1004.5,,,9,,9,,,10,8,ScAs,9,2000,,01,24.5,,25.6,25.3,24.8,24.5
108,서울,2022-06-27 23:00,27.6,,,9,4.2,,180,,77,,28.3,23.1,994.6,,1004.2,,,9,,9,,,10,8,,8,2000,,,24.5,,25.5,25.3,24.8,24.5
108,서울,2022-06-28 00:00,27.7,,,9,3.2,,180,,77,,28.4,23.2,994.3,,1003.9,,,9,,9,,,10,9,ScAs,8,2000,,,24.5,,25.5,25.2,24.8,24.5
